date,adj_close,ticker
1997-05-01,1.5,AMZN
1997-06-01,1.541667,AMZN
1997-07-01,2.395833,AMZN
1997-08-01,2.338542,AMZN
1997-09-01,4.3385419999999995,AMZN
1997-10-01,5.0833330000000005,AMZN
1997-11-01,4.125,AMZN
1997-12-01,5.0208330000000005,AMZN
1998-01-01,4.9166669999999995,AMZN
1998-02-01,6.4166669999999995,AMZN
1998-03-01,7.127603999999999,AMZN
1998-04-01,7.6458330000000005,AMZN
1998-05-01,7.34375,AMZN
1998-06-01,16.625,AMZN
1998-07-01,18.479166,AMZN
1998-08-01,13.958332999999998,AMZN
1998-09-01,18.604166,AMZN
1998-10-01,21.072916,AMZN
1998-11-01,32.0,AMZN
1998-12-01,53.54166800000001,AMZN
1999-01-01,58.46875,AMZN
1999-02-01,64.0625,AMZN
1999-03-01,86.09375,AMZN
1999-04-01,86.03125,AMZN
1999-05-01,59.375,AMZN
1999-06-01,62.5625,AMZN
1999-07-01,50.03125,AMZN
1999-08-01,62.1875,AMZN
1999-09-01,79.9375,AMZN
1999-10-01,70.625,AMZN
1999-11-01,85.0625,AMZN
1999-12-01,76.125,AMZN
2000-01-01,64.5625,AMZN
2000-02-01,68.875,AMZN
2000-03-01,67.0,AMZN
2000-04-01,55.1875,AMZN
2000-05-01,48.3125,AMZN
2000-06-01,36.3125,AMZN
2000-07-01,30.125,AMZN
2000-08-01,41.5,AMZN
2000-09-01,38.4375,AMZN
2000-10-01,36.625,AMZN
2000-11-01,24.6875,AMZN
2000-12-01,15.5625,AMZN
2001-01-01,17.3125,AMZN
2001-02-01,10.1875,AMZN
2001-03-01,10.23,AMZN
2001-04-01,15.78,AMZN
2001-05-01,16.690001000000002,AMZN
2001-06-01,14.15,AMZN
2001-07-01,12.49,AMZN
2001-08-01,8.94,AMZN
2001-09-01,5.97,AMZN
2001-10-01,6.98,AMZN
2001-11-01,11.32,AMZN
2001-12-01,10.82,AMZN
2002-01-01,14.19,AMZN
2002-02-01,14.1,AMZN
2002-03-01,14.3,AMZN
2002-04-01,16.690001000000002,AMZN
2002-05-01,18.23,AMZN
2002-06-01,16.25,AMZN
2002-07-01,14.45,AMZN
